evaluator_name,evaluator_expertise,prompt_idx,model_a_clarity,model_a_appropriateness,model_a_accuracy,model_a_consistency,model_a_empathy,model_b_clarity,model_b_appropriateness,model_b_accuracy,model_b_consistency,model_b_empathy,model_c_clarity,model_c_appropriateness,model_c_accuracy,model_c_consistency,model_c_empathy,notes
Rater_2,Other,0,3,3,5,3,3,1,4,4,2,2,1,4,4,1,3,"Model C gives a longer, more elaborate completion with two sentences. It may be slightly too assumptive about what the person wants and adds detail the user never specified."
Rater_2,Other,1,3,4,2,1,4,3,4,4,1,1,4,3,1,1,3,
Rater_2,Other,2,4,3,4,2,1,4,1,3,5,3,3,5,2,3,3,
Rater_2,Other,3,2,3,3,5,2,3,3,2,3,1,3,1,3,3,4,
Rater_2,Other,4,3,4,5,5,1,4,5,5,3,1,3,2,2,2,2,
Rater_2,Other,5,3,2,3,2,3,5,4,4,3,4,3,5,4,3,1,
Rater_2,Other,6,3,3,2,2,4,4,1,3,3,1,5,2,5,3,1,
Rater_2,Other,7,3,4,3,1,2,3,4,3,3,1,3,3,3,3,1,
Rater_2,Other,8,3,3,5,2,3,3,4,3,2,2,3,1,1,2,3,
Rater_2,Other,9,4,4,5,1,2,4,4,5,4,2,3,2,2,2,4,
Rater_2,Other,10,3,3,3,5,2,4,5,2,2,3,3,2,3,2,2,
Rater_2,Other,11,3,2,2,2,2,5,4,3,3,1,4,2,2,3,1,
Rater_2,Other,12,4,1,2,2,1,5,4,4,3,1,4,2,2,2,3,
Rater_2,Other,13,3,2,3,1,2,4,5,4,2,3,2,3,3,2,2,
Rater_2,Other,14,3,3,1,3,5,2,1,2,3,2,4,2,1,3,1,
Rater_2,Other,15,3,3,1,2,3,3,2,1,3,3,3,5,4,3,3,
Rater_2,Other,16,4,3,2,2,1,4,3,1,2,3,4,2,3,3,1,
Rater_2,Other,17,4,3,3,2,3,4,3,4,3,3,2,3,3,5,1,
Rater_2,Other,18,1,1,3,4,3,2,3,2,1,1,3,1,4,3,1,
Rater_2,Other,19,3,1,4,3,4,2,2,4,1,2,4,4,3,3,2,
Rater_2,Other,20,4,4,2,2,4,4,2,1,4,2,1,2,4,4,3,
Rater_2,Other,21,3,3,4,4,2,5,3,4,2,3,2,3,3,2,4,
Rater_2,Other,22,3,3,2,3,3,4,2,3,4,2,2,4,3,3,1,
Rater_2,Other,23,3,3,3,2,3,3,3,2,1,2,4,3,5,3,2,
Rater_2,Other,24,2,5,1,1,2,1,2,3,1,1,3,3,3,3,1,
Rater_2,Other,25,4,2,3,1,2,2,3,4,3,2,2,4,3,2,2,
Rater_2,Other,26,2,4,4,3,2,2,1,1,2,2,3,2,1,1,2,
Rater_2,Other,27,2,2,4,4,2,3,3,3,4,1,2,4,3,4,3,
Rater_2,Other,28,3,4,3,3,3,3,3,3,1,3,4,5,4,2,1,
Rater_2,Other,29,1,3,2,2,3,2,1,5,3,3,1,2,4,1,2,
Rater_2,Other,30,2,4,3,3,2,3,2,5,3,2,3,4,4,3,3,
Rater_2,Other,31,3,3,3,2,3,3,2,3,2,3,4,3,4,4,2,
Rater_2,Other,32,4,3,4,4,2,2,4,3,2,1,3,2,2,3,3,
Rater_2,Other,33,3,3,2,5,3,5,2,2,3,1,2,2,4,2,3,
Rater_2,Other,34,3,3,2,2,2,2,3,4,2,3,4,2,3,4,4,
Rater_2,Other,35,3,3,2,4,1,2,1,4,2,2,4,2,5,2,2,
Rater_2,Other,36,3,3,2,1,1,1,1,1,4,2,5,4,1,2,3,
Rater_2,Other,37,4,4,5,4,4,3,4,5,2,2,2,3,3,2,3,
Rater_2,Other,38,1,2,3,2,1,3,3,5,3,3,3,2,2,3,2,
Rater_2,Other,39,3,2,4,3,3,2,3,3,2,2,3,4,4,3,3,
Rater_2,Other,40,3,2,2,5,1,4,3,3,2,1,3,3,2,2,5,
Rater_2,Other,41,1,3,2,3,3,4,3,1,3,3,3,4,4,2,4,
Rater_2,Other,42,2,2,2,3,3,2,3,1,3,3,3,4,2,4,1,
Rater_2,Other,43,2,5,3,5,2,4,3,2,4,2,3,3,3,2,3,
Rater_2,Other,44,5,4,3,4,2,2,2,5,2,1,2,5,2,1,2,
Rater_2,Other,45,2,3,3,3,2,3,4,3,1,2,3,2,4,1,2,
Rater_2,Other,46,2,3,2,3,3,2,2,3,1,1,3,4,3,3,2,
Rater_2,Other,47,2,5,3,2,3,2,3,2,2,2,3,1,2,3,2,
Rater_2,Other,48,4,3,2,1,3,3,3,3,3,2,2,1,3,3,2,
Rater_2,Other,49,1,2,3,3,1,2,1,2,2,5,2,2,2,3,2,
Rater_2,Other,50,4,2,2,2,3,3,3,2,5,3,3,3,3,3,2,
Rater_2,Other,51,3,2,3,2,3,3,3,2,5,2,2,3,3,3,2,
Rater_2,Other,52,3,2,4,3,3,2,1,1,2,4,3,2,3,5,3,
Rater_2,Other,53,1,2,3,2,2,4,3,2,3,3,2,3,3,2,3,
Rater_2,Other,54,3,3,3,3,2,4,3,2,4,4,2,3,2,1,1,
Rater_2,Other,55,3,4,4,3,1,2,4,1,2,1,3,4,3,2,2,
Rater_2,Other,56,3,4,3,1,1,4,3,2,2,2,3,3,2,2,2,
Rater_2,Other,57,2,3,2,1,5,3,3,1,2,2,4,3,3,3,2,
Rater_2,Other,58,3,4,4,2,2,3,2,2,3,3,3,3,3,2,3,
Rater_2,Other,59,3,2,2,4,2,4,3,4,3,3,3,3,5,4,3,
Rater_3,AI accessibility research,0,4,4,5,5,3,4,4,3,5,3,4,4,2,5,3,
Rater_4,Cognitive / intellectual disabilities,0,3,3,3,4,4,3,4,3,3,3,4,4,4,4,4,
Rater_4,Cognitive / intellectual disabilities,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,
Rater_3,AI accessibility research,1,4,4,5,5,4,4,4,3,3,2,2,4,5,3,4,
Rater_3,AI accessibility research,2,3,4,4,3,3,3,3,3,5,3,4,4,5,5,4,
Rater_4,Cognitive / intellectual disabilities,2,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4,
Rater_3,AI accessibility research,3,4,3,3,4,4,5,5,3,4,3,4,5,3,4,3,
Rater_3,AI accessibility research,4,4,4,3,4,5,3,4,3,3,4,4,4,3,4,3,
Rater_4,Cognitive / intellectual disabilities,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,5,3,4,4,5,5,3,4,3,5,5,4,4,4,3,3,
Rater_3,AI accessibility research,6,2,5,4,3,3,4,3,3,4,3,5,4,5,3,3,
Rater_3,AI accessibility research,7,3,3,4,3,3,4,4,5,5,5,4,5,5,3,5,
Rater_3,AI accessibility research,8,4,5,3,4,5,4,4,3,2,4,5,2,3,5,4,
Rater_4,Cognitive / intellectual disabilities,4,4,4,4,4,3,3,2,4,4,4,4,4,3,3,3,
Rater_3,AI accessibility research,9,4,5,2,3,4,3,5,4,5,2,3,5,4,4,4,
Rater_4,Cognitive / intellectual disabilities,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,
Rater_5,Cognitive / intellectual disabilities,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,10,5,4,3,3,4,3,4,3,4,4,5,3,4,4,3,
Rater_4,Cognitive / intellectual disabilities,6,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,11,4,4,5,4,4,4,4,4,3,5,3,4,4,3,5,
Rater_5,Cognitive / intellectual disabilities,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,7,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,
Rater_3,AI accessibility research,12,5,4,3,5,3,3,3,4,4,4,4,4,3,5,5,
Rater_3,AI accessibility research,13,5,4,3,5,3,3,3,4,4,4,4,4,3,5,5,
Rater_4,Cognitive / intellectual disabilities,8,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,14,4,3,4,4,2,3,5,4,2,3,4,3,3,3,4,
Rater_4,Cognitive / intellectual disabilities,9,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,
Rater_6,AI accessibility research,0,4,5,5,3,4,5,5,4,5,4,5,4,5,5,3,
Rater_3,AI accessibility research,15,4,5,3,3,4,3,4,4,3,2,4,3,3,3,5,
Rater_5,Cognitive / intellectual disabilities,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,16,3,5,5,3,2,3,5,4,3,3,3,5,3,4,4,
Rater_6,AI accessibility research,1,4,4,4,5,4,5,4,3,5,4,4,5,5,5,4,
Rater_3,AI accessibility research,17,4,3,5,3,3,3,5,5,3,2,4,5,3,2,3,
Rater_4,Cognitive / intellectual disabilities,11,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,
Rater_6,AI accessibility research,2,2,4,4,3,2,4,4,4,3,5,4,3,4,4,4,
Rater_3,AI accessibility research,18,3,5,3,4,4,2,4,4,4,2,4,3,3,3,3,
Rater_5,Cognitive / intellectual disabilities,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,19,3,4,4,5,4,4,3,3,4,4,3,5,5,3,3,
Rater_4,Cognitive / intellectual disabilities,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,20,4,3,4,3,5,4,2,5,3,4,4,4,3,3,3,
Rater_5,Cognitive / intellectual disabilities,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_6,AI accessibility research,3,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,
Rater_3,AI accessibility research,21,3,4,4,4,5,3,4,2,3,3,3,4,3,4,2,
Rater_5,Cognitive / intellectual disabilities,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_6,AI accessibility research,4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,3,
Rater_4,Cognitive / intellectual disabilities,14,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,22,4,5,3,3,4,4,3,4,4,3,5,4,4,3,4,
Rater_6,AI accessibility research,5,4,5,3,3,5,4,5,4,4,4,5,4,4,5,4,
Rater_5,Cognitive / intellectual disabilities,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,23,3,5,4,3,3,3,4,4,5,5,3,4,3,5,4,
Rater_4,Cognitive / intellectual disabilities,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_6,AI accessibility research,6,4,5,4,4,3,5,4,4,3,4,5,5,5,4,2,
Rater_3,AI accessibility research,24,3,5,4,4,2,3,4,3,3,4,4,3,4,4,5,
Rater_5,Cognitive / intellectual disabilities,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,16,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,25,4,3,5,4,4,2,3,3,5,4,4,4,2,3,5,
Rater_3,AI accessibility research,26,3,4,4,3,4,3,3,4,4,3,3,5,4,4,4,
Rater_5,Cognitive / intellectual disabilities,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_6,AI accessibility research,7,4,4,4,4,5,4,4,3,4,4,5,4,4,3,4,
Rater_4,Cognitive / intellectual disabilities,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,27,4,3,3,5,3,4,3,4,4,4,4,4,4,5,5,
Rater_4,Cognitive / intellectual disabilities,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,28,3,5,4,3,4,4,3,3,5,4,3,3,5,4,5,
Rater_6,AI accessibility research,8,4,5,4,4,4,4,3,4,5,5,5,4,4,3,3,
Rater_5,Cognitive / intellectual disabilities,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_6,AI accessibility research,9,5,5,5,5,4,5,3,4,4,4,4,5,5,5,4,
Rater_3,AI accessibility research,29,5,4,5,5,3,4,3,5,4,4,4,5,5,3,4,
Rater_5,Cognitive / intellectual disabilities,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,20,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,
Rater_6,AI accessibility research,10,5,4,4,4,4,4,4,3,4,5,3,4,4,4,4,
Rater_3,AI accessibility research,30,4,4,4,5,3,4,3,5,3,4,4,5,4,4,5,
Rater_5,Cognitive / intellectual disabilities,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,31,4,5,4,3,4,5,4,5,5,2,3,4,3,4,4,
Rater_6,AI accessibility research,11,4,5,4,5,5,3,5,5,5,3,5,3,5,3,5,
Rater_4,Cognitive / intellectual disabilities,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,32,2,4,4,3,4,3,5,5,3,4,5,4,4,4,2,
Rater_4,Cognitive / intellectual disabilities,22,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,
Rater_6,AI accessibility research,12,4,5,5,4,4,5,5,5,4,4,4,5,4,5,4,
Rater_5,Cognitive / intellectual disabilities,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,33,5,3,5,4,2,5,5,3,5,2,4,3,4,5,3,
Rater_4,Cognitive / intellectual disabilities,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,34,3,4,5,3,4,5,2,5,3,3,5,3,3,3,5,
Rater_6,AI accessibility research,13,4,4,5,4,4,5,3,4,4,4,5,4,4,4,4,
Rater_5,Cognitive / intellectual disabilities,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,35,3,5,3,4,4,3,5,4,4,2,3,3,4,5,4,
Rater_6,AI accessibility research,14,5,4,5,3,2,4,4,5,4,5,5,4,4,4,4,
Rater_4,Cognitive / intellectual disabilities,24,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,
Rater_7,Communication disabilities / AAC,0,3,3,3,3,3,4,3,3,3,3,5,4,3,4,3,
Rater_3,AI accessibility research,36,5,4,5,4,4,4,3,4,2,4,4,5,4,3,5,
Rater_4,Cognitive / intellectual disabilities,25,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,
Rater_6,AI accessibility research,15,5,5,4,4,4,5,4,3,4,5,5,4,4,4,5,
Rater_3,AI accessibility research,37,4,5,4,4,3,3,4,5,3,3,5,3,4,3,4,
Rater_5,Cognitive / intellectual disabilities,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_4,Cognitive / intellectual disabilities,26,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,
Rater_7,Communication disabilities / AAC,1,4,4,2,3,3,2,3,3,4,3,3,3,3,3,3,
Rater_6,AI accessibility research,16,4,5,3,4,4,5,5,4,4,3,5,4,4,4,3,
Rater_3,AI accessibility research,38,4,3,3,5,3,5,3,5,4,3,4,3,4,5,5,
Rater_4,Cognitive / intellectual disabilities,27,5,4,4,4,5,4,4,4,4,4,4,3,4,4,4,
Rater_5,Cognitive / intellectual disabilities,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,39,4,5,3,5,3,3,3,5,4,3,3,4,3,4,4,
Rater_6,AI accessibility research,17,5,4,5,3,4,5,4,4,5,5,4,4,5,5,3,
Rater_4,Cognitive / intellectual disabilities,28,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,40,4,3,5,4,4,4,3,3,5,3,4,2,3,3,4,
Rater_5,Cognitive / intellectual disabilities,16,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,
Rater_7,Communication disabilities / AAC,2,4,4,3,3,4,3,4,1,3,4,3,3,3,3,2,
Rater_6,AI accessibility research,18,4,5,4,3,4,4,5,5,4,5,5,4,4,3,4,
Rater_3,AI accessibility research,41,5,3,3,4,3,3,4,3,3,5,4,3,5,3,4,
Rater_7,Communication disabilities / AAC,3,2,2,3,2,3,3,2,2,2,3,3,3,4,2,2,
Rater_5,Cognitive / intellectual disabilities,17,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,
Rater_6,AI accessibility research,19,5,4,2,2,3,4,5,4,3,3,5,5,5,3,4,
Rater_4,Cognitive / intellectual disabilities,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_3,AI accessibility research,42,3,4,4,4,3,5,3,4,3,4,4,3,5,3,5,
Rater_7,Communication disabilities / AAC,4,4,2,2,2,2,1,1,2,2,1,3,2,3,2,1,
Rater_6,AI accessibility research,20,3,4,4,3,5,5,3,2,3,5,4,3,4,4,4,
Rater_5,Cognitive / intellectual disabilities,18,5,5,5,4,4,3,4,5,4,4,3,5,4,4,4,
Rater_4,Cognitive / intellectual disabilities,30,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_7,Communication disabilities / AAC,5,3,3,3,2,3,2,3,3,3,3,2,3,3,3,2,
Rater_3,AI accessibility research,43,4,5,5,4,5,3,5,3,4,4,3,4,4,4,3,
Rater_4,Cognitive / intellectual disabilities,31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_7,Communication disabilities / AAC,6,5,3,3,3,1,2,3,2,2,3,2,2,2,3,2,
Rater_5,Cognitive / intellectual disabilities,19,3,4,2,4,4,3,4,4,4,4,2,5,4,4,4,
Rater_6,AI accessibility research,21,5,4,4,5,4,5,5,5,3,5,3,3,2,4,4,
Rater_3,AI accessibility research,44,5,4,4,3,4,3,4,3,3,4,4,3,3,4,3,
Rater_7,Communication disabilities / AAC,7,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,
Rater_4,Cognitive / intellectual disabilities,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rater_3,AI accessibility research,45,4,4,4,3,3,4,3,5,5,4,4,3,3,4,4,
Rater_7,Communication disabilities / AAC,8,3,3,1,3,4,3,3,4,3,3,2,2,5,5,3,
Rater_5,Cognitive / intellectual disabilities,20,5,4,4,5,3,5,5,4,3,3,3,4,5,4,4,
Rater_6,AI accessibility research,22,5,4,4,3,5,5,4,4,4,4,5,4,2,5,5,
Rater_7,Communication disabilities / AAC,9,2,2,4,3,3,2,1,3,5,4,2,1,5,4,4,
Rater_4,Cognitive / intellectual disabilities,33,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,
Rater_3,AI accessibility research,46,5,3,4,4,3,3,3,4,4,5,4,4,3,5,5,
Rater_5,Cognitive / intellectual disabilities,21,2,3,4,3,4,4,4,4,3,3,2,4,4,4,4,
Rater_7,Communication disabilities / AAC,10,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,
Rater_4,Cognitive / intellectual disabilities,34,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,
Rater_6,AI accessibility research,23,4,4,4,4,5,4,5,4,4,4,4,4,3,2,4,
Rater_3,AI accessibility research,47,4,5,5,3,3,4,5,5,3,4,4,4,5,5,5,
Rater_7,Communication disabilities / AAC,11,2,1,1,2,2,1,2,1,2,2,3,3,1,2,1,
Rater_5,Cognitive / intellectual disabilities,22,3,4,4,4,3,3,4,4,3,4,2,3,4,3,4,
Rater_7,Communication disabilities / AAC,12,2,4,3,5,5,3,3,2,5,4,3,2,3,4,5,
Rater_4,Cognitive / intellectual disabilities,35,5,5,5,3,3,4,4,4,4,3,4,3,5,5,5,
Rater_5,Cognitive / intellectual disabilities,23,2,4,4,4,4,2,4,4,4,4,3,4,4,3,4,
Rater_6,AI accessibility research,24,5,4,4,3,3,3,4,3,3,3,4,5,5,3,3,
Rater_3,AI accessibility research,48,3,4,3,3,3,4,3,4,4,5,4,3,3,5,5,
Rater_7,Communication disabilities / AAC,13,2,3,1,3,2,3,2,2,4,4,5,2,1,2,3,
Rater_4,Cognitive / intellectual disabilities,36,4,5,4,5,4,4,4,4,4,4,4,5,3,4,4,
Rater_7,Communication disabilities / AAC,14,1,4,5,5,5,2,1,2,2,2,2,1,5,3,2,
Rater_5,Cognitive / intellectual disabilities,24,4,4,3,3,4,4,5,4,4,4,2,3,4,4,4,
Rater_3,AI accessibility research,49,5,3,4,4,3,4,3,5,2,3,5,4,4,3,4,
Rater_6,AI accessibility research,25,5,3,2,4,4,5,5,4,4,3,4,4,4,4,4,
Rater_7,Communication disabilities / AAC,15,2,2,4,4,4,3,3,5,5,4,3,2,2,2,2,
Rater_4,Cognitive / intellectual disabilities,37,5,5,5,5,4,5,4,4,5,4,5,3,5,5,3,
Rater_3,AI accessibility research,50,5,3,5,4,4,4,5,4,2,5,4,4,4,4,4,
Rater_5,Cognitive / intellectual disabilities,25,2,5,4,4,3,2,4,4,3,4,3,4,4,4,4,
Rater_7,Communication disabilities / AAC,16,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,
Rater_6,AI accessibility research,26,5,3,2,3,3,4,4,5,3,3,4,3,4,5,4,
Rater_4,Cognitive / intellectual disabilities,38,3,3,5,2,3,4,4,4,5,3,3,5,5,5,5,
Rater_3,AI accessibility research,51,5,3,5,5,5,5,4,3,3,5,5,4,4,4,5,
Rater_7,Communication disabilities / AAC,17,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,
Rater_3,AI accessibility research,52,5,3,5,5,5,5,4,3,3,5,5,4,4,4,5,
Rater_5,Cognitive / intellectual disabilities,26,4,5,5,4,4,2,4,4,4,4,2,4,4,3,4,
Rater_4,Cognitive / intellectual disabilities,39,5,4,4,3,4,4,5,3,4,4,4,4,4,3,4,
Rater_7,Communication disabilities / AAC,18,2,1,1,2,2,2,4,2,2,2,2,2,3,5,5,
Rater_6,AI accessibility research,27,4,4,5,4,3,4,4,4,4,4,4,3,5,4,5,
Rater_3,AI accessibility research,53,3,4,4,5,4,5,3,3,5,3,4,4,5,3,4,
Rater_5,Cognitive / intellectual disabilities,27,2,5,4,4,4,3,4,3,3,3,3,3,4,3,3,
Rater_7,Communication disabilities / AAC,19,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,
Rater_3,AI accessibility research,54,3,5,4,4,4,4,3,3,5,4,5,5,3,4,4,
Rater_7,Communication disabilities / AAC,20,3,2,5,5,5,2,1,5,4,4,2,2,3,1,2,
Rater_3,AI accessibility research,55,5,4,5,3,5,5,4,5,5,3,5,4,3,3,5,
Rater_4,Cognitive / intellectual disabilities,40,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,
Rater_6,AI accessibility research,28,5,5,3,3,2,5,4,3,3,4,4,4,3,3,3,
Rater_5,Cognitive / intellectual disabilities,28,1,3,4,4,4,3,4,3,4,4,3,3,4,3,3,
Rater_7,Communication disabilities / AAC,21,2,2,4,5,2,1,3,5,5,4,2,5,4,3,2,
Rater_3,AI accessibility research,56,4,5,5,4,3,4,3,4,4,3,4,4,5,3,4,
Rater_7,Communication disabilities / AAC,22,2,4,4,2,2,2,1,2,2,2,1,1,3,2,2,
Rater_5,Cognitive / intellectual disabilities,29,2,4,4,3,4,4,4,5,3,3,3,3,4,3,4,
Rater_4,Cognitive / intellectual disabilities,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_6,AI accessibility research,29,5,4,3,3,2,4,3,4,4,3,3,4,3,4,4,
Rater_3,AI accessibility research,57,4,3,3,5,3,5,3,4,4,5,5,4,3,3,4,
Rater_7,Communication disabilities / AAC,23,2,2,5,5,4,5,2,2,2,2,1,1,2,2,1,
Rater_7,Communication disabilities / AAC,24,2,1,4,2,2,2,1,2,2,2,2,2,1,1,2,
Rater_5,Cognitive / intellectual disabilities,30,4,3,4,4,3,2,2,5,3,3,3,3,5,3,3,
Rater_6,AI accessibility research,30,5,4,4,3,3,4,5,4,5,3,4,4,4,4,4,
Rater_3,AI accessibility research,58,4,4,3,5,4,3,4,4,5,3,4,5,5,3,5,
Rater_7,Communication disabilities / AAC,25,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,
Rater_4,Cognitive / intellectual disabilities,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_7,Communication disabilities / AAC,26,3,1,2,2,1,2,1,2,2,2,1,2,3,4,2,
Rater_5,Cognitive / intellectual disabilities,31,4,3,4,4,3,3,5,5,3,3,3,4,4,2,3,
Rater_3,AI accessibility research,59,4,5,5,4,4,4,5,5,5,3,4,5,3,5,4,
Rater_6,AI accessibility research,31,4,5,3,5,3,4,5,3,5,4,4,4,4,4,4,
Rater_7,Communication disabilities / AAC,27,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,
Rater_5,Cognitive / intellectual disabilities,32,2,5,4,4,4,5,3,4,3,4,3,5,4,3,4,
Rater_4,Cognitive / intellectual disabilities,43,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,
Rater_7,Communication disabilities / AAC,28,2,1,2,3,2,2,2,1,2,2,1,1,1,2,2,
Rater_6,AI accessibility research,32,4,4,5,4,4,5,4,5,4,4,4,4,3,4,2,
Rater_7,Communication disabilities / AAC,29,3,2,1,1,2,1,2,2,2,3,2,2,2,2,2,
Rater_4,Cognitive / intellectual disabilities,44,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,
Rater_5,Cognitive / intellectual disabilities,33,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,
Rater_7,Communication disabilities / AAC,30,2,3,3,2,2,1,1,4,3,2,2,2,2,1,1,
Rater_5,Cognitive / intellectual disabilities,34,2,3,4,4,3,3,4,4,3,3,3,5,5,3,3,
Rater_4,Cognitive / intellectual disabilities,45,4,4,4,4,3,4,4,4,3,2,3,3,4,3,3,
Rater_6,AI accessibility research,33,4,4,3,5,4,5,4,5,4,4,5,4,4,5,2,
Rater_7,Communication disabilities / AAC,31,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,
Rater_5,Cognitive / intellectual disabilities,35,3,5,4,4,3,3,4,4,4,3,2,4,3,3,3,
Rater_7,Communication disabilities / AAC,32,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,
Rater_4,Cognitive / intellectual disabilities,46,4,3,3,4,3,4,2,4,4,3,3,3,3,4,4,
Rater_7,Communication disabilities / AAC,33,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,
Rater_6,AI accessibility research,34,4,4,4,4,3,4,3,4,4,3,5,4,4,4,4,
